Reference,Location,U-Pb (Ma)
5,Africa,998
5,Africa,1012
5,Africa,740
5,Africa,990
5,Africa,2131
5,Africa,677
5,Africa,691
5,Africa,630
5,Africa,620
5,Africa,1070
5,Africa,999
5,Africa,748
5,Africa,578
5,Africa,1022
5,Africa,911
5,Africa,1833
5,Africa,857
5,Africa,1112
5,Africa,696
5,Africa,612
5,Africa,996
5,Africa,1033
5,Africa,859
5,Africa,605
5,Africa,1005
5,Africa,1032
5,Africa,897
5,Africa,1012
5,Africa,595
5,Africa,839
5,Africa,621
5,Africa,665
5,Africa,1039
5,Africa,734
5,Africa,1007
5,Africa,654
5,Africa,764
5,Africa,607
5,Africa,1011
5,Africa,807
5,Africa,600
5,Africa,663
5,Africa,868
5,Africa,1042
5,Africa,657
5,Africa,658
5,Africa,691
5,Africa,1011
5,Africa,859
5,Africa,920
5,Africa,1057
5,Africa,570
5,Africa,975
5,Africa,617
5,Africa,676
5,Africa,574
5,Africa,996
5,Africa,825
5,Africa,1009
5,Africa,644
5,Africa,1019
5,Africa,609
5,Africa,658
5,Africa,939
5,Africa,957
5,Africa,629
5,Africa,842
5,Africa,728
5,Africa,1074
5,Africa,689
5,Africa,634
5,Africa,606
5,Africa,1058
5,Africa,648
5,Africa,1036
5,Africa,547
5,Africa,834
5,Africa,1074
5,Africa,664
5,Africa,976
5,Africa,634
5,Africa,663
5,Africa,627
5,Africa,688
5,Africa,965
5,Africa,1036
5,Africa,584
5,Africa,609
5,Africa,868
5,Africa,605
5,Africa,587
5,Africa,634
5,Africa,804
5,Africa,565
5,Africa,577
5,Africa,607
5,Africa,855
5,Africa,621
5,Africa,653
5,Africa,1042
5,Africa,651
5,Africa,690
5,Africa,632
5,Africa,682
5,Africa,964
5,Africa,545
5,Africa,636
5,Africa,654
5,Africa,1050
5,Africa,809
5,Africa,468
5,Africa,856
5,Africa,629
5,Africa,603
5,Africa,615
5,Africa,884
5,Africa,565
5,Africa,613
5,Africa,654
5,Africa,658
5,Africa,636
5,Africa,581
5,Africa,659
5,Africa,995
5,Africa,673
5,Africa,638
5,Africa,784
5,Africa,573
5,Africa,594
5,Africa,681
5,Africa,564
5,Africa,613
5,Africa,698
5,Africa,619
5,Africa,681
5,Africa,715
5,Africa,962
5,Africa,645
5,Africa,542
5,Africa,724
5,Africa,581
5,Africa,837
5,Africa,605
5,Africa,918
5,Africa,609
5,Africa,578
5,Africa,613
5,Africa,718
5,Africa,789
5,Africa,674
5,Africa,583
5,Africa,965
5,Africa,506
5,Africa,590
5,Africa,641
5,Africa,668
5,Africa,637
5,Africa,680
5,Africa,595
5,Africa,1013
5,Africa,615
5,Africa,622
5,Africa,682
5,Africa,638
5,Africa,613
5,Africa,641
5,Africa,643
5,Africa,533
5,Africa,638
5,Africa,671
5,Africa,620
5,Africa,749
5,Africa,657
5,Africa,904
5,Africa,796
5,Africa,939
5,Africa,668
5,Africa,670
5,Africa,689
5,Africa,511
5,Africa,652
5,Africa,570
5,Africa,631
5,Africa,716
5,Africa,613
5,Africa,589
5,Africa,658
5,Africa,663
5,Africa,681
5,Africa,684
5,Africa,616
5,Africa,681
5,Africa,652
5,Africa,777
5,Africa,588
5,Africa,675
5,Africa,638
5,Africa,543
5,Africa,810
5,Africa,653
5,Africa,688
5,Africa,1134
5,Africa,628
5,Africa,932
5,Africa,698
5,Africa,715
5,Africa,619
5,Africa,676
5,Africa,733
5,Africa,963
5,Africa,667
5,Africa,696
5,Africa,637
5,Africa,609
5,Africa,497
5,Africa,695
5,Africa,671
5,Africa,616
5,Africa,635
5,Africa,691
5,Africa,755
5,Africa,624
5,Africa,806
5,Africa,747
5,Africa,691
5,Africa,600
5,Africa,605
5,Africa,771
5,Africa,679
5,Africa,730
5,Africa,702
5,Africa,846
5,Africa,679
5,Africa,610
5,Africa,761
5,Africa,565
5,Africa,573
5,Africa,640
5,Africa,764
5,Africa,644
5,Africa,749
5,Africa,641
5,Africa,754
5,Africa,612
5,Africa,652
5,Africa,603
5,Africa,667
5,Africa,679
5,Africa,639
5,Africa,994
5,Africa,701
5,Africa,790
5,Africa,573
5,Africa,663
5,Africa,1129
5,Africa,952
5,Africa,574
5,Africa,917
5,Africa,598
5,Africa,643
5,Africa,598
5,Africa,777
5,Africa,618
5,Africa,777
5,Africa,727
5,Africa,548
5,Africa,972
5,Africa,568
5,Africa,825
5,Africa,648
5,Africa,708
5,Africa,672
5,Africa,869
5,Africa,1044
5,Africa,581
